Date;Type;Platform;Units;Difficulty;Time Start;Time End;Temp1;Temp2
11/07/2022;Studying;datacamp;6;;;;;
12/07/2022;Studying;datacamp;5;;;;;
18/07/2022;Studying;datacamp;8;;;;;
19/07/2022;Studying;datacamp;4;;;;;
20/07/2022;Studying;datacamp;5;;;;;
20/07/2022;Pairing;local;3;;;;;
21/07/2022;Studying;datacamp;5;;;;;
22/07/2022;Coding;exercism;12;;;;;
22/07/2022;Studying;local;1;;;;;
23/07/2022;Studying;datacamp;2;;;;;
23/07/2022;Pairing;local;9;;;;;
30/07/2022;Studying;datacamp;2;;;;;
31/07/2022;Studying;datacamp;1;;;;;
31/07/2022;Pairing;local;5;;;;;
31/07/2022;Coding;exercism;1;;;;;
01/08/2022;Studying;datacamp;12;;;;;
02/08/2022;Studying;datacamp;9;;;;;
03/08/2022;Studying;datacamp;10;;;;;
03/08/2022;Coding;exercism;1;;;;;
04/08/2022;Studying;datacamp;5;;;;;
04/08/2022;Coding;exercism;8;;;;;
05/08/2022;Studying;datacamp;5;;;;;
05/08/2022;Coding;exercism;2;;;;;
06/08/2022;Pairing;local;5;;;;;
07/08/2022;Studying;datacamp;4;;;;;
07/08/2022;Coding;exercism;3;;;;;
08/08/2022;Studying;datacamp;5;;;;;
08/08/2022;Coding;exercism;3;;;;;
08/08/2022;Studying;local;5;;;;;
09/08/2022;Studying;datacamp;8;;;;;
10/08/2022;Studying;datacamp;5;;;;;
11/08/2022;Studying;datacamp;7;;;;;
12/08/2022;Studying;datacamp;3;;;;;
12/08/2022;Coding;local;2;;;;;
12/08/2022;Coding;exercism;1;;;;;
12/08/2022;Coding;codewars;4;;;;;
13/08/2022;Studying;datacamp;2;;;;;
13/08/2022;Coding;local;2;;;;;
13/08/2022;Coding;codewars;5;;;;;
13/08/2022;Pairing;local;6;;;;;
14/08/2022;Coding;local;6;;;;;
14/08/2022;Coding;codewars;2;;;;;
15/08/2022;Studying;datacamp;2;;;;;
15/08/2022;Coding;codewars;12;;;;;
16/08/2022;Studying;datacamp;6;;;;;
16/08/2022;Pairing;local;4;;;;;
17/08/2022;Studying;datacamp;4;;;;;
17/08/2022;Coding;codewars;2;;;;;
18/08/2022;Studying;datacamp;1;;;;;
18/08/2022;Coding;codewars;20;;;;;
20/08/2022;Coding;local;3;;;;;
20/08/2022;Coding;codewars;6;;;;;
21/08/2022;Studying;datacamp;2;;;;;
21/08/2022;Coding;codewars;7;;;;;
22/08/2022;Studying;datacamp;4; ;;;;
22/08/2022;Coding;codewars;6;;;;;
23/08/2022;Studying;datacamp;2; ;;;;
24/08/2022;Coding;codewars;4; ;;;;
25/08/2022;Coding;codewars;7; ;;;;
26/08/2022;Coding;codewars;4; ;;;;
26/08/2022;Pairing;local;4;;;;;
27/08/2022;Studying;datacamp;5; ;;;;
27/08/2022;Coding;codewars;8;;;;;
28/08/2022;Studying;datacamp;4;;;;;
28/08/2022;Coding;codewars;8; ;;;;
29/08/2022;Studying;datacamp;4; ;;;;
29/08/2022;Coding;codewars;6;;;;;
30/08/2022;Pairing;local;6; ;;;;
30/08/2022;Coding;codewars;3;;;;;
01/09/2022;Studying;datacamp;3;;;;;
01/09/2022;Coding;codewars;2;;;;;
03/09/2022;Coding;local;4;;;;;
04/09/2022;Coding;local;8;;;;;
05/09/2022;Coding;local;6;;;;;
05/09/2022;Pairing;local;4;;;;;
06/09/2022;Coding;local;4;;;;;
06/09/2022;Coding;codewars;10;;;;;
07/09/2022;Coding;local;1;;;;;
07/09/2022;Coding;codewars;10;;;;;
08/09/2022;Studying;datacamp;2;;;;;
08/09/2022;Coding;codewars;12;;;;;
09/09/2022;Studying;datacamp;3;;;;;
09/09/2022;Coding;codewars;3;;;;;
10/09/2022;Pairing;local;6;;;;;
10/09/2022;Coding;codewars;8;;;;;
11/09/2022;Coding;local;2;;;;;
11/09/2022;Coding;codewars;9;;;;;
12/09/2022;Coding;local;2;;;;;
12/09/2022;Coding;codewars;8;;;;;
13/09/2022;Coding;local;2;;;;;
13/09/2022;Coding;codewars;1;;;;;
13/09/2022;Pairing;local;4;;;;;
14/09/2022;Coding;codewars;15;;;;;
15/09/2022;Coding;codewars;10;;;;;
16/09/2022;Coding;local;2;;;;;
17/09/2022;Pairing;local;5;;;;;
18/09/2022;Coding;local;2;;;;;
18/09/2022;Coding;codewars;5;;;;;
19/09/2022;Pairing;local;5;;;;;
19/09/2022;Coding;codewars;3;;;;;
20/09/2022;Coding;codewars;14;;;;;
21/09/2022;Studying;local;6;;;;;
21/09/2022;Coding;codewars;3;;;;;
23/09/2022;Coding;exercism;2;;;;;
24/09/2022;Studying;PyCon;16;;;;;
26/09/2022;Studying;local;2;;;;;
26/09/2022;Coding;codewars;7;;;;;
27/09/2022;Studying;local;4;;;;;
27/09/2022;Pairing;local;5;;;;;
28/09/2022;Studying;local;4;;;;;
28/09/2022;Coding;codewars;4;;;;;
29/09/2022;Studying;local;4;;;;;
01/10/2022;Studying;local;6;;;;;
02/10/2022;Pairing;local;7;;;;;
03/10/2022;Studying;local;6;;;;;
04/10/2022;Studying;local;2;;;;;
04/10/2022;Coding;codewars;4;;;;;
04/10/2022;Pairing;local;3;;;;;
05/10/2022;Studying;local;6;;;;;
06/10/2022;Studying;local;6;;;;;
07/10/2022;Coding;codewars;5;;;;;
08/10/2022;Studying;local;2;;;;;
09/10/2022;Studying;local;2;;;;;
10/10/2022;Studying;local;4;;;;;
10/10/2022;Coding;codewars;5;;;;;
18/10/2022;Studying;local;2;;;;;
19/10/2022;Studying;local;4;;;;;
22/10/2022;Pairing;local;5;;;;;
29/10/2022;Pairing;local;3;;;;;
31/10/2022;Coding;local;2;;;;;
01/11/2022;Studying;datacamp;4;;;;;
01/11/2022;Coding;codewars;5;;;;;
01/11/2022;Pairing;local;3;;;;;
02/11/2022;Studying;datacamp;3;;;;;
03/11/2022;Studying;datacamp;1;;;;;
06/11/2022;Pairing;local;4;;;;;
07/11/2022;Coding;local;2;;;;;
07/11/2022;Studying;datacamp;1;;;;;
08/11/2022;Pairing;local;4;;;;;
10/11/2022;Studying;datacamp;6;;;;;
13/11/2022;Pairing;local;3;;;;;
15/11/2022;Studying;datacamp;3;;;;;
22/11/2022;Studying;datacamp;3;;;;;
22/11/2022;Pairing;local;5;;;;;
27/11/2022;Pairing;local;4;;;;;
28/11/2022;Studying;datacamp;2;;;;;
29/11/2022;Studying;datacamp;2;;;;;
29/11/2022;Pairing;local;4;;;;;
02/12/2022;Studying;freecodecamp;1;Javascript;;;;
04/12/2022;Pairing;local;4;;;;;
04/12/2022;Studying;freecodecamp;1;Javascript;;;;
05/12/2022;Studying;freecodecamp;5;Javascript;;;;
06/12/2022;Studying;freecodecamp;1;Javascript;;;;
06/12/2022;Pairing;local;4;;;;;
07/12/2022;Studying;datacamp;2;;;;;
08/12/2022;Studying;datacamp;5;;;;;
09/12/2022;Studying;datacamp;3;;;;;
10/12/2022;Pairing;local;4;;;;;
13/12/2022;Studying;freecodecamp;4;Javascript;;;;
15/12/2022;Studying;freecodecamp;1;Javascript;;;;
18/12/2022;Pairing;local;4;;;;;
19/12/2022;Studying;freecodecamp;2;Javascript;;;;
20/12/2022;Studying;datacamp;2;;;;;
22/12/2022;Studying;datacamp;2;;;;;
